name,countries,n_as
Value IT SAS,FR,4
Beijing Jingdong Shangke Information Technology Co. Ltd.,CN,4
Full Fibre Limited,GB,4
PT Aplikanusa Lintasarta,ID,4
Parsun Network Solutions PTY LTD,AU,4
PT Telkom Satelit Indonesia,ID,4
"LLP ""Kompaniya Hoster.KZ""",KZ,4
STACKBIT INTERNET SERVICES PRIVATE LIMITED,IN,4
Connect Communication,PK,4
Securiton Technologies,AU,4
NetcoRR Synergies SRL,RO,4
"""AS43668"" LLC",UA,4
KK Networks (Pvt) Ltd.,PK,4
Chisholm Broadband LLC,US,4
Blue Shield of California,US,4
GOCO TECHNOLOGY LIMITED PARTNERSHIP,CA,4
Artem Zubkov,GE,4
net innovation llc,US,4
"ScopeSky for communications, internet and technology services LLC",IQ,4
DIL Technology Limited,IQ,4
Shabakieh Isfahan Co PJSC,IR,4
American Messaging Services L.L.C.,US,4
MediaCorp Pte Ltd,SG,4
Telecommunication Infrastructure Company,IR,4
LIBYAN INTERNATIONAL TELECOMMUNICATION COMPANY,LY,4
Global Technologies of Ukraine LLC,UA,4
NET2ATLANTA.COM LLC,US,4
"NSS INT'L CO., LTD.",TW,4
"JSC ""AB ROSSIYA""",RU,4
Peace Communications LLC,US,4
Network Services Ltd.,GB,4
"MAXNET TELECOM, LTD",UA,4
BBC,GB,4
SERGEY MUTIN,RU,4
Liquid Telecommunications Operations Limited,MU,4
Cogeco Connexion inc,CA,4
Scaleway SAS,FR,4
Internet Utilities Europe and Asia Limited,GB,4
DACS-IX,US,4
Fiveways International Limited,HK,4
NUSO CLOUD UK LIMITED,GB,4
"CORE WINNER CO.,LIMITED",TW,4
Aperture Science Limited,HK,4
CELLO GROUP LIMITED,NZ,4
Cloudie Limited,HK,4
M1 NET LTD,SG,4
RGnet OU,EE,4
Trinity Network Solutions,US,4
"Massive Networks, Inc.",US,4
"Wingel cooperation co.,Ltd",KH,4
BREAK FREE TELECOM SL,ES,4
"OOCL (USA), Inc.",US,4
GTS Telecom SRL,RO,4
Chinese Academy of Telecommunication Research,CN,4
"Thai Name Server Co., Ltd.",TH,4
"Patmos Hosting, Inc.",US,4
Opin Kerfi hf,IS,4
Parsa Janbeglou Media Ltd.,CA,4
Rio Tinto IS&T,AU,4
Layerstack Limited,HK,4
"Civilisation Information Technology, communication and internet services Co., LTD",IQ,4
CELENETWORKS SL,ES,4
Telesvit LLC,UA,4
eHealthInsurance Services Inc.,US,4
Department of Communities and Justice (DCJ),AU,4
HONG KONG GIGALINK NETWORK LIMITED,HK,4
SECURED SERVERS LLC,US,4
ATI - Agence Tunisienne Internet,TN,4
"DATA AXLE, INC",US,4
Department of Human Services,AU,4
Hostsymbol Pte. Ltd.,SG,4
"TowardEX Technologies International, Inc.",US,4
DE-CIX ASIA PTE LTD,SG,4
LG CNS America Inc.,US,4
Site LLC,RU,4
PacketHub S.A.,PA,4
UNISYS AUSTRALIA PTY LIMITED,AU,4
Trans-iX B.V.,NL,4
NetO Corp,US,4
Department of Customer Service,AU,4
Global Transit Communications,MY,4
Stolitomson Company DOO,ME;RS,4
"NEW CCH, LLC",US,4
FlexNetworks,CA,4
Alloha Fibra - S/SE,BR,4
Bangla Trac Communications Ltd.,BD,4
Destiny France Entreprises SAS,FR,4
Earthlink Telecommunications Equipment Trading & Services DMCC,AE,4
"RTCloud, LLC",RU,4
iBasis (Hong Kong) Ltd,HK,4
Konstantin Verba,GB,4
Hytron Network Services (US) LLC,US,4
