iyp_org_name,iyp_countries,iyp_n_as,tier,candidates,candidate_names
Ekco B.V.,NL,3,legal_core,7245002LHEH5X2SZ1E78;724500LH6RF9UM9DW236,Luna B.V. [ACTIVE] | Luna Investments C.V. [ACTIVE]
Summit,US,1,legal_core,2549006CSAAG67CX8Z55;254900NTAC4H10MGSU23;549300H7YZE1LRA8HA28;549300ZSFNMHET4KE860,Summit Credit Union [ACTIVE] | Summit Credit Union [ACTIVE] | SUMMIT FEDERAL CREDIT UNION [ACTIVE] | THE SUMMIT Federal Credit Union [ACTIVE]
IAC/InterActiveCorp,US,1,other_name_exact,15OMOPB0A8K0EFUVD031;549300TO56L57RP6P031,"MATCH GROUP, INC. [ACTIVE] | PEOPLE INCORPORATED [ACTIVE]"
Bonduelle SA,FR,1,legal_core,969500QSP9C6OF9ULX71;969500QVHHN3NNVYRE94,BONDUELLE [ACTIVE] | BONDUELLE [ACTIVE]
"Interline Brands, Inc.",US,2,legal_exact,5493002G5N9I34NPU211;549300EUZXBS9WZ2E813,"Interline Brands, Inc. [ACTIVE] | Interline Brands, Inc. [ACTIVE]"
SiteOne Landscape Supply,US,2,legal_core,5299008LX7SBD4HIAU03;549300OPBWRVWF1ADN81,"SITEONE LANDSCAPE SUPPLY, INC. [ACTIVE] | SITEONE LANDSCAPE SUPPLY, LLC [ACTIVE]"
Banque de Commerce et de Placements SA,CH,1,legal_exact,5493003LWDQPX5CKY206;5493004507C8ZG6E5446,BANQUE DE COMMERCE ET DE PLACEMENTS SA [ACTIVE] | Banque de Commerce et de Placements SA [ACTIVE]
Farm Credit Mid-America,US,1,fuzzy,2549001STASYM105JR08;5493006JISETNI0GLE61,"Farm Credit Mid-America, PCA [ACTIVE] | Farm Credit Mid-America, ACA [ACTIVE]"
China International Capital Corporation Limited,CN,1,other_name_exact,529900F3MJB9KB5Z4V24;529900OS3SVVTT56QN67,中金期货有限公司 [ACTIVE] | 中国国际金融股份有限公司 [ACTIVE]
GTS-Holding B.V.,NL,1,legal_exact,7245005V1PM47UAX0X31;7245006WDBL70IF8VJ62,GTS Holding B.V. [ACTIVE] | GTS-Holding B.V. [ACTIVE]
QUANTUM,US,1,legal_core,5493007210175UIK7S88;549300HQPLN40YTRSL84;549300N08KWU11RFO340,Quantum Corporation [ACTIVE] | QUANTUM CREDIT UNION [ACTIVE] | QUANTUM INVESTMENTS LTD. [ACTIVE]
Greenlight Capital,US,1,legal_core,7V477JVQ7ELL2YP4JD61;KJ4X2QKKG3K6PVOW7F88;LPGYPYH1R33EGB7SMF73,"GREENLIGHT CAPITAL, L.P. [ACTIVE] | GREENLIGHT CAPITAL, INC. [ACTIVE] | GREENLIGHT CAPITAL LP [ACTIVE]"
"Novantas, Inc.",US,1,legal_exact,54930090OTWQCTY15B19;549300NBPHPTUPTS8070,Novantas Inc. [ACTIVE] | NOVANTAS INC. [ACTIVE]
Baytex Energy Ltd.,CA,1,legal_exact,549300QVRPF55YS4I188;9845004B98069CEBE122;984500F855F42F64DC84,BAYTEX ENERGY LTD. [ACTIVE] | BAYTEX ENERGY LTD. [ACTIVE] | BAYTEX ENERGY LTD. [ACTIVE]
United Community Bank,US,3,legal_exact,5493000XYE7QL54NMB52;549300O2UK5FUZXQJO34;549300ZVWOLYDJWFNX02;T68X8LLAQYRNDV034K14,United Community Bank [ACTIVE] | United Community Bank [ACTIVE] | United Community Bank [ACTIVE] | United Community Bank [ACTIVE]
ARIA S.p.A.,IT,1,legal_core,8156004A71DC12B1D694;81560072268A2640BF66;815600B8644FCF7CB631,ARIA S.R.L. [ACTIVE] | ARIA S.R.L [ACTIVE] | ARIA SRL [ACTIVE]
Raymond James,CA,1,legal_core,549300QR3RXJKWZMK182;9845000D4AB6D9B2AA23,RAYMOND JAMES LTD. [ACTIVE] | Raymond James (USA) Ltd. [ACTIVE]
Carvana,US,1,legal_core,5493003WEAK2PJ5WS063;549300K1RHKSSKLUWH33,"CARVANA CO. [ACTIVE] | CARVANA, LLC [ACTIVE]"
"EUROP ASSISTANCE, S.A.",FR,1,legal_core,9695008E6296RUK5A776;9845004568C0BF4DBC15,EUROP ASSISTANCE [ACTIVE] | EUROP ASSISTANCE [ACTIVE]
WorldPay (UK) Limited,GB,3,legal_exact,213800LXYGUXTTAINM18;213800ZYUELJCOU3PP25,WORLDPAY LIMITED [ACTIVE] | WORLDPAY (UK) LIMITED [ACTIVE]
REPUBLIC NATIONAL DISTRIBUTING COMPANY,US,1,legal_core,549300FSQM3YBMRT2U54;549300XHS8YJUK4EPM86,"REPUBLIC NATIONAL DISTRIBUTING COMPANY, LLC [ACTIVE] | REPUBLIC NATIONAL DISTRIBUTING COMPANY, LLC [ACTIVE]"
METIS S.R.L.,IT,1,legal_exact,8156002AF8275F5E5E87;8156002F00D3AE134424;8156003C794B1B5DA317;81560058D96717FD8985;815600AF03EE8D8C0187;815600C6436128851318;815600F9995C33D0BD50,METIS S.R.L. [ACTIVE] | METIS S.R.L. [ACTIVE] | METIS S.R.L. [ACTIVE] | METIS S.R.L. [ACTIVE] | METIS S.R.L. [ACTIVE] | METIS S.R.L. [ACTIVE] | METIS S.R.L. [ACTIVE]
Saxo Bank A/S,DK,1,legal_exact,549300TL5406IC1XKD09;7245008IMDLKTD1H4G15;984500DE71B45074B789,SAXO BANK A/S [ACTIVE] | Saxo Bank A/S [ACTIVE] | SAXO BANK A/S [ACTIVE]
CA Indosuez Wealth (Europe) S.A.,LU,1,legal_core,222100BO5R540I7DI750;549300UA2M7UCJX8SE64,CA Indosuez Wealth (Asset Management) [ACTIVE] | CA INDOSUEZ WEALTH (EUROPE) [ACTIVE]
EMF Inc.,US,1,legal_core,254900BFAN1RNSSL8F11;5493000KHS27FEI0CF15,"EMF, LLC [ACTIVE] | EMF LLC [ACTIVE]"
